keyword,device,baseline_position,target_day_45,target_day_90,current_landing_page,target_landing_page,priority
deck stairs replacement kansas city,desktop,9,7,5,TBD - Search Console,/services/stairs-and-railings,highest
deck stairs replacement kansas city,mobile,9,7,5,TBD - Search Console,/services/stairs-and-railings,highest
covered decks kansas city,desktop,23,18,12,TBD - Search Console,/services/covered-decks,high
covered decks kansas city,mobile,23,18,12,TBD - Search Console,/services/covered-decks,high
deck repair kansas city,desktop,29,20,15,TBD - Search Console,/services/deck-repair,high
deck repair kansas city,mobile,27,20,15,TBD - Search Console,/services/deck-repair,high
deck replacement kansas city,desktop,34,25,20,TBD - Search Console,/services/deck-replacement,high
deck replacement kansas city,mobile,34,25,20,TBD - Search Console,/services/deck-replacement,high
custom decks kansas city,desktop,27,22,15,TBD - Search Console,/services/custom-decks,high
custom decks kansas city,mobile,>100,60,40,TBD - Search Console,/services/custom-decks,high
trex decking kansas city,desktop,31,25,20,TBD - Search Console,/services/composite-decks,high
trex decking kansas city,mobile,33,25,20,TBD - Search Console,/services/composite-decks,high
trex deck builder kansas city,desktop,>100,60,35,TBD - Search Console,/services/composite-decks,medium
trex deck builder kansas city,mobile,50,40,30,TBD - Search Console,/services/composite-decks,medium
covered deck installation kansas city,desktop,29,20,15,TBD - Search Console,/services/covered-decks,high
covered deck installation kansas city,mobile,>100,60,40,TBD - Search Console,/services/covered-decks,medium
deck stairs contractor kansas city,desktop,>100,60,35,TBD - Search Console,/services/stairs-and-railings,medium
deck stairs contractor kansas city,mobile,73,55,35,TBD - Search Console,/services/stairs-and-railings,medium
composite deck builder lenexa,desktop,89,60,40,TBD - Search Console,/service-areas/lenexa-ks,medium
composite deck builder lenexa,mobile,>100,80,60,TBD - Search Console,/service-areas/lenexa-ks,medium
